SwitchboardID,ItemNumber,ItemText,Command,Argument
1,0,"Analysis",,"Default"
1,1,"Είδη",1,"3"
1,2,"Συνταγές-Φάσεις",1,"4"
1,3,"Παραγωγή",1,"5"
1,4,"Μηχανήματα",1,"6"
3,0,"Είδη",0,
3,1,"Είδη κατάλογος",2,"tbSorts2Form"
3,2,"Είδη κατηγορίες",2,"tbSortCategory"
3,3,"Είδη υποκατηγορίες",2,"tbSortCategorySub"
3,4,"Επιστροφή στην αρχική σελίδα",1,"1"
4,0,"Συνταγές-Φάσεις",0,
4,1,"Κατάλογος Α Ημιετοίμων(συνταγές)",2,"tbA_FASH1_Form"
4,2,"Κατάλογος Β Ημιετοίμων(συνταγές)",2,"tbB_FASH1_Form"
4,3,"Κατάλογος Ετοίμων(συνταγές)",2,"tbC_FASH1_Form"
4,4,"Επιστροφή στην αρχική σελίδα",1,"1"
5,0,"Παραγωγή",0,
5,1,"Παραγγελίες στην παραγωγή",2,"qrOrdersForm"
5,2,"Πρόγραμμα παραγωγής",2,"tbProgramDateList"
5,3,"Απολογισμός παραγωγής",2,"tbProdDateList"
5,4,"Επιστροφή στην αρχική σελίδα",1,"1"
6,0,"Μηχανήματα",0,
6,1,"Κατάλογος μηχανημάτων",2,"tbMachine1Form"
6,2,"Βλάβες",2,"tbMashineDamage1Form"
6,3,"Επιστροφή στην αρχική σελίδα",1,"1"
