IdMachineMaintancePr,IdMachine,IdMaintance,MMainFrequency,text1
1,"50",1,3.6000000000000000e+02,
2,"01",19,4.5000000000000000e+01,
3,"67",2,3.6500000000000000e+02,
4,"67",5,1.0000000000000000e+03,
5,"67",9,9.0000000000000000e+01,
6,"67",10,4.5000000000000000e+01,
7,"11",3,4.5000000000000000e+01,
8,"15",3,4.5000000000000000e+01,
9,"17",5,1.5000000000000000e+03,
10,"19",9,5.0000000000000000e+02,
11,"02",5,1.2000000000000000e+03,
12,"02",3,4.5000000000000000e+01,
13,"02",12,1.8000000000000000e+02,
14,"20",3,1.5000000000000000e+02,
15,"24",9,3.6000000000000000e+02,
16,"25",3,3.6500000000000000e+02,
17,"25",9,3.6500000000000000e+02,
18,"31",13,3.6500000000000000e+02,
19,"33",2,3.6500000000000000e+02,
20,"33",9,4.5000000000000000e+01,
21,"33",10,4.5000000000000000e+01,
22,"57",9,1.2000000000000000e+02,
23,"58",12,3.6000000000000000e+02,
26,"68",3,4.5000000000000000e+01,
27,"12",3,0.0000000000000000e+00,
29,"01",13,9.0000000000000000e+01,
30,"13",13,7.5000000000000000e+01,
31,"17",3,4.5000000000000000e+01,
32,"02",14,3.6000000000000000e+02,
35,"23",13,6.0000000000000000e+01,
36,"02",11,4.5000000000000000e+01,
37,"07",3,3.0000000000000000e+01,
38,"07",14,3.6000000000000000e+02,
39,"07",12,1.8000000000000000e+02,
40,"07",8,3.0000000000000000e+01,
41,"07",11,3.0000000000000000e+01,
42,"09",3,4.5000000000000000e+01,
43,"09",13,4.5000000000000000e+01,
44,"09",11,4.5000000000000000e+01,
45,"10",16,0.0000000000000000e+00,
46,"10",6,0.0000000000000000e+00,
47,"10",1,0.0000000000000000e+00,
48,"10",13,0.0000000000000000e+00,
49,"11",13,4.5000000000000000e+01,
50,"11",11,4.5000000000000000e+01,
51,"13",9,7.5000000000000000e+01,
53,"14",13,7.5000000000000000e+01,
54,"14",9,7.5000000000000000e+01,
55,"16",5,7.0000000000000000e+02,
56,"22",13,4.5000000000000000e+01,
57,"25",11,3.6500000000000000e+02,
58,"28",12,3.6000000000000000e+02,
59,"30",13,9.0000000000000000e+01,
60,"30",11,9.0000000000000000e+01,
61,"34",13,9.0000000000000000e+01,
62,"37",17,1.8000000000000000e+02,
63,"48",11,6.0000000000000000e+01,
64,"54",12,3.6000000000000000e+02,
65,"55",17,1.8000000000000000e+02,
66,"56",17,1.8000000000000000e+02,
67,"64",13,9.0000000000000000e+01,
68,"68",13,4.5000000000000000e+01,
69,"72",13,1.5000000000000000e+01,
70,"75",14,3.6000000000000000e+02,
71,"75",12,1.8000000000000000e+02,
72,"75",8,3.0000000000000000e+01,
73,"08",3,0.0000000000000000e+00,
74,"08",11,4.5000000000000000e+01,
75,"08",8,3.0000000000000000e+01,
76,"08",12,1.8000000000000000e+02,
77,"08",14,3.6000000000000000e+02,
80,"05",17,1.8000000000000000e+02,
81,"41",11,9.0000000000000000e+01,
87,"02",17,0.0000000000000000e+00,
88,"12",13,0.0000000000000000e+00,
89,"12",11,0.0000000000000000e+00,
92,"40",13,6.0000000000000000e+01,
93,"51",13,0.0000000000000000e+00,
94,"51",11,0.0000000000000000e+00,
95,"08",15,1.0000000000000000e+03,
96,"04",11,9.0000000000000000e+01,
98,"90",3,9.0000000000000000e+01,
99,"06",1,1.8000000000000000e+02,
100,"06",13,6.0000000000000000e+01,
101,"17",16,0.0000000000000000e+00,
102,"37",11,9.0000000000000000e+01,
103,"38",11,9.0000000000000000e+01,
104,"40",11,9.0000000000000000e+01,
105,"42",11,9.0000000000000000e+01,
106,"52",11,9.0000000000000000e+01,
107,"55",11,9.0000000000000000e+01,
108,"56",11,9.0000000000000000e+01,
110,"114",3,1.8000000000000000e+02,
111,"114",19,3.0000000000000000e+01,
112,"98",13,1.0000000000000000e+00,
113,"09",5,1.2000000000000000e+03,
114,"37",20,0.0000000000000000e+00,
115,"91",3,4.5000000000000000e+01,
116,"118",9,3.6000000000000000e+02,
117,"118",2,0.0000000000000000e+00,
118,"120",10,4.5000000000000000e+01,
119,"120",9,4.5000000000000000e+01,
122,"91",13,0.0000000000000000e+00,
123,"114",13,3.0000000000000000e+01,
124,"47",19,4.5000000000000000e+01,
125,"123",11,4.5000000000000000e+01,
126,"50",9,1.0000000000000000e+02,
127,"50",22,1.0000000000000000e+02,
128,"44",14,5.0000000000000000e+02,
129,"72",1,3.6000000000000000e+02,
130,"29",9,3.6000000000000000e+02,
131,"50",21,1.0000000000000000e+02,
132,"131",9,1.8000000000000000e+02,"ΥΔΡΑΥΛΙΚΑ"
133,"133",11,6.0000000000000000e+01,
134,"99",13,6.0000000000000000e+01,
135,"115",13,6.0000000000000000e+01,
136,"15",11,1.8000000000000000e+02,
137,"03",11,1.0000000000000000e+02,
138,"89",3,4.5000000000000000e+01,
139,"134",13,6.0000000000000000e+01,
140,"134",9,1.5000000000000000e+01,
141,"135",3,7.5000000000000000e+01,
142,"135",13,7.0000000000000000e+00,
143,"135",19,7.0000000000000000e+00,
144,"135",14,6.0000000000000000e+01,
145,"135",11,2.0000000000000000e+01,
146,"135",3,5.0000000000000000e+01,
147,"135",12,1.8000000000000000e+02,
148,"136",3,1.8000000000000000e+02,"Για το ανεβοκατέβασμα"
149,"141",27,1.0800000000000000e+03,
