IDOperation,Operation,IDSection,Wh_Productivity,Wh_Cost,IDOperationLoced
"91","ΤΕΛΙΚΗ ΣΥΣΚΕΥΑΣΙΑ","4ΣΥΣ",2.9800000000000001e+01,1.0600000000000000e+01,0
"92","ΤΕΛ ΣΥΣΚ ΣΑΚΟΥΛΑΣ ΡΡ ΦΡΥΓΑΝΙΑ","4ΣΥΣ",8.5000000000000000e+00,1.0600000000000000e+01,0
"93","ΤΕΛ ΣΥΣΚ ΣΑΚΟΥΛΑΣ ΡΡ ΠΑΞΙΜΑΔΙ","4ΣΥΣ",1.7000000000000000e+01,1.0600000000000000e+01,0
"94","ΤΕΛ ΣΥΣΚ ΣΑΚΟΥΛΑΣ ΡΡ ΨΩΜΙΑ","4ΣΥΣ",2.2000000000000000e+01,1.0600000000000000e+01,0
"95","ΤΕΛ ΣΥΣΚ ΣΑΚΟΥΛΑΣ ΡΡ ΤΟΣΤ","4ΣΥΣ",1.1500000000000000e+01,1.0600000000000000e+01,0
"Α01","ΑΥΤΟΜΑΤΗ  ΑΡΤΟΠΟΙΙΑ","1ΠΑ",3.5000000000000000e+01,1.0600000000000000e+01,0
"Α02","ΧΕΙΡΩΝΑΚΤΙΚΗ ΑΡΤΟΠΟΙΙΑ","1ΠΑ",3.5000000000000000e+01,1.0600000000000000e+01,0
"Α03","ΖΑΧ/ΚΗ ΑΛΕΥΡΟΥ ΑΥΤΟΜΑΤΗ","1ΠΑ",3.5000000000000000e+01,1.0600000000000000e+01,0
"Α04","ΖΑΧ/ΚΗ ΑΛΕΥΡΟΥ ΧΕΙΡΟ","1ΠΑ",2.4000000000000000e+01,1.0600000000000000e+01,0
"Α06","ΣΦΟΛΙΑΤΕΣ-ΠΙΤΕΣ ψημενες","1ΠΑ",5.5000000000000000e+00,1.0600000000000000e+01,0
"Α07","ΚΡΙΤΣΙΝΙΑ","1ΠΑ",3.5000000000000000e+00,1.0600000000000000e+01,0
"Α08","ΕΤΟΙΜΕΣ ΖΥΜΕΣ","1ΠΑ",1.2000000000000000e+01,1.0600000000000000e+01,0
"Α09","ΧΕΙΡΟΝΑΚΤΙΚΗ ΜΙΚΡΩΝ ΔΟΣΕΩΝ","1ΠΑ",3.0000000000000000e+01,1.0600000000000000e+01,0
"Α10","ΠΑΞΙΜΑΔΙΑ","1ΠΑ",3.5000000000000000e+00,1.0600000000000000e+01,0
"Α12","ΧΕΙΡ ΑΡΤ ΚΟΜΑΤΙΑΣΤΑ","1ΠΑ",1.0500000000000000e+01,1.0600000000000000e+01,0
"Α13","ΠΑΡΑΓΩΓΗ ΑΡΑΠΑΚΙ","2ΠΖ",2.1000000000000001e+00,1.0600000000000000e+01,0
"ΑΨ01","ΑΨΗΤΑ ΠΙΤΑΚΙΑ ΛΑΔΙΟΥ(ΚΟΤ-ΖΑΜ-ΤΥΡ-ΛΟΥΚ-ΜΑΝ)","1ΠΑ",6.5000000000000000e+00,1.0600000000000000e+01,0
"ΑΨ02","ΑΨΗΤΑ ΠΙΤΑΚΙΑ ΛΑΔΙΟΥ(ΠΑΤ-ΣΠΑΝ)","1ΠΑ",9.0000000000000000e+00,1.0600000000000000e+01,0
"ΑΨ03","ΑΨΗΤΕΣ ΧΩΡΙΑΤΙΚΕΣ","1ΠΑ",1.5000000000000000e+01,1.0600000000000000e+01,0
"ΑΨ04","ΑΨΗΤΟ ΚΟΥΡΟΥ ΛΟΥΚΑΝΙΚΟ","1ΠΑ",2.2000000000000000e+01,1.0580000000000000e+01,0
"ΑΨ05","ΑΨΗΤΟ ΚΟΥΡΟΥ ΤΥΡΙ","1ΠΑ",2.0000000000000000e+01,1.0600000000000000e+01,0
"ΑΨ06","ΑΨΗΤΑ ΣΤΡΙΦΤΑΡΙΑ","1ΠΑ",5.0000000000000000e+00,1.0600000000000000e+01,0
"Γ01","ΠΑΡ ΓΕΜΙΣΗΣ ΠΑΤΑΤΑΣ","1ΠΑ",2.6300000000000001e+01,1.0600000000000000e+01,0
"Γ02","ΠΑΡ ΓΕΜΙΣΗΣ ΣΑΛΤΣΑ ΜΑΝΙΤΑΡΙ","1ΠΑ",7.0000000000000000e+00,1.0600000000000000e+01,0
"Γ03","ΠΑΡ ΓΕΜΙΣΗΣ ΣΠΑΝΑΚΙ","1ΠΑ",2.0000000000000000e+01,1.0600000000000000e+01,0
"Γ04","ΠΑΡ ΓΕΜΙΣΗΣ ΚΟΤΟΠΟΥΛΟ","1ΠΑ",1.0000000000000000e+01,1.0600000000000000e+01,0
"Γ05","ΠΑΡ ΓΕΜΙΣΗΣ ΚΟΛΟΚΥΘΙ","1ΠΑ",5.9000000000000004e+00,1.0600000000000000e+01,0
"Γ06","ΠΑΡ ΓΕΜΙΣΕΩΝ","1ΠΑ",1.2000000000000000e+01,0.0000000000000000e+00,0
"Ζ01","ΣΙΡΟΠΙΑΣΤΑ","2ΠΖ",1.2000000000000000e+01,1.0600000000000000e+01,0
"Ζ02","ΤΙΓΑΝΗΤΑ","2ΠΖ",1.6000000000000000e+01,1.0600000000000000e+01,0
"Ζ03","ΠΑΡΑΣΚΕΥΗ  ΚΡΥΟΥ ΣΑΝΤΟΥΙΤΣ","2ΠΖ",1.5500000000000000e+01,1.0600000000000000e+01,0
"Χ_Φ","ΧΩΡΙΣ ΔΙΕΡΓΑΣΙΑ","5ΑΝ",0.0000000000000000e+00,0.0000000000000000e+00,1
