IDSortSubCategory,SortSubCategory,IDCategory
"0","ΑΚΥΡΟΝ","Φ_Β"
"01","ΑΚΥΡΟΝ","Φ_Β"
"10","10-Ψωμιά","Φ_Γ"
"11","11-Αρτοσκευάσματα γλυκά","Φ_Γ"
"12","12-Αρτοσκευάσματα αλμυρα","Φ_Γ"
"13","13-Βουτήγματα","Φ_Γ"
"14","14-Κεικ","Φ_Γ"
"15","15-Κουλούρια","Φ_Γ"
"16","16-Κριτσίνια","Φ_Γ"
"17","17-Πίτες","Φ_Γ"
"18","18-Σιροπιαστά","Φ_Γ"
"19","19-Σφολιάτες","Φ_Γ"
"20","20-Παξιμάδια","Φ_Γ"
"2001","2001-ΑΛΕΥΡΑ","Α_ΥΛΗ"
"2002","2002-Γλυκαντικες υλες","Α_ΥΛΗ"
"2003","2003-Γαλακτοκομικα","Α_ΥΛΗ"
"2004","2004-ΦΡΟΥΤΑ","Α_ΥΛΗ"
"2005","2005-ΛΑΧΑΝΙΚΑ","Α_ΥΛΗ"
"2006","2006-ΚΑΚΑΟ ΠΡΟΙΟΝΤΑ","Α_ΥΛΗ"
"2007","2007-ΔΗΜΗΤΡΙΑΚΑ","Α_ΥΛΗ"
"2008","2008-ΤΕΧΝΟΛΟΓΙΚΑ ΒΟΗΘΗΜΑΤΑ","Α_ΥΛΗ"
"2009","2009-ΟΡΓΑΝΙΚΑ ΟΞΕΑ","Α_ΥΛΗ"
"2010","2010-ΣΥΝΤΗΡΗΤΙΚΑ","Α_ΥΛΗ"
"2011","2011-ΧΡΩΜΑΤΑ","Α_ΥΛΗ"
"2012","2012-ΑΡΩΜΑΤΑ-ΚΑΡΥΚΕΥΜΑΤΑ","Α_ΥΛΗ"
"2013","2013-ΚΡΕΑΤΑ","Α_ΥΛΗ"
"2014","2014-ΙΧΘΗΡΑ","Α_ΥΛΗ"
"2015","2015-ΑΥΓΑ","Α_ΥΛΗ"
"2016","2016-ΞΗΡΟΙ ΚΑΡΠΟΙ","Α_ΥΛΗ"
"2017","2017-ΛΙΠΗ ΕΛΑΙΑ","Α_ΥΛΗ"
"2018","2018-ΟΙΝΟΠΝΕΥΜΑΤΩΔΗ","Α_ΥΛΗ"
"2019","2019-ΖΑΧΑΡΩΔΗ ΠΡΟΙΟΝΤΑ","Α_ΥΛΗ"
"2020","2020-ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ ΕΤΟΙΜΑ","Α_ΥΛΗ"
"2021","2021-ΑΦΕΨΗΜΑΤΑ","Α_ΥΛΗ"
"2022","2022-ΑΝΑΨΥΚΤΙΚΑ","Α_ΥΛΗ"
"2023","2023-ΕΤΟΙΜΑ ΜΕΙΓΜΑΤΑ","Α_ΥΛΗ"
"2024","2024-ΦΥΛΛΑ-ΣΦΟΛΙΑΤΕΣ","Α_ΥΛΗ"
"2025","2025-ΣΑΛΑΤΕΣ","Α_ΥΛΗ"
"2026","2026-ΑΠΟΞΗΡ.ΦΡΟΥΤΑ-ΛΑΧΑΝΙΚΑ","Α_ΥΛΗ"
"2029","2029-ΠΑΓΩΤΟ     (ΤΕΛΙΚΟ ΠΡΟΙΟΝ)","Φ_Γ"
"2030","2030 -  ΔΙΑΚΟΣΜΙΤΙΚΑ ΠΑΓΩΤΟΥ","Α_ΥΛΗ"
"2091","ΦΙΛΜ ΣΥΣΚΕΥΑΣΙΑΣ","ΥΤΣ"
"21","21-Κουλούρια αλμυρά","Φ_Γ"
"25","25 ΚΟΥΛΟΥΡΙΑ ΑΨΗΤΑ","Φ_Γ"
"27","27 ΑΨΗΤΑ ΠΡΟΙΟΝΤΑ","Φ_Γ"
"30","30-ΠΑΓΩΤΑ -ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"31","31-ΖΑΧΑΡΩΔΗ-ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"32","32-ΧΥΜΟΙ-ΑΝΑΨΥΚΤΙΚΑ - ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"33","33-ΓΑΛΑΚΤΟΚΟΜΙΚΑ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"34","34-ΑΦΕΨΗΜΑΤΑ- ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"35","35-ΣΙΡΟΠΙΑΣΤΑ-ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"36","36-ΔΙΑΦΟΡΕΣ ΠΙΤΕΣ- ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"37","37-ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"38","38-ΟΙΝΟΠΝΕΥΜΑΤΩΔΗ-ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"39","39-ΔΗΜΗΤΡΙΑΚΑ-ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4000","4000-ΔΙΑΦΟΡΑ ΑΝΑΨΥΚΤΙΚΑ-ΧΥΜΟΙ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4010","4010-ΔΙΑΦΟΡΑ ΓΑΛΑΚΤΟΚΟΜΙΚΑ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4020","4020-ΔΙΑΦΟΡΑ ΣΙΡΟΠΙΑΣΤΑ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4030","4030-ΔΙΑΦΟΡΑ ΠΑΓΩΤΑ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4040","4040-ΔΙΑΦΟΡΑ ΠΟΤΑ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4050","4050-ΔΙΑΦΟΡΑ ΔΗΜΗΤΡΙΑΚΑ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4060","4060-ΔΙΑΦΟΡΑ ΖΑΧΑΡΩΔΗ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4070","4070-ΔΙΑΦΟΡΑ ΠΙΤΟΕΙΔΗ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4080","4080-ΔΙΑΦΟΡΑ ΕΙΔΗ ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
"4090","4090-ΔΙΑΦΟΡΑ ΑΦΕΨΙΜΑΤΑ ΕΜΠΟΡΕΥΜΑΤΑ","ΕΜΠ"
