IDWork,Date,IDOperation,Hours
1,"07/25/05 00:00:00","Α01",0.0000000000000000e+00
2,"07/25/05 00:00:00","Α02",0.0000000000000000e+00
3,"07/25/05 00:00:00","Α03",0.0000000000000000e+00
4,"07/25/05 00:00:00","Α04",0.0000000000000000e+00
5,"07/25/05 00:00:00","Ζ01",0.0000000000000000e+00
6,"07/25/05 00:00:00","Α06",0.0000000000000000e+00
7,"07/25/05 00:00:00","Α07",0.0000000000000000e+00
8,"07/25/05 00:00:00","Α08",0.0000000000000000e+00
9,"07/25/05 00:00:00","Α09",0.0000000000000000e+00
10,"07/25/05 00:00:00","Α10",0.0000000000000000e+00
11,"07/25/05 00:00:00","Ζ02",0.0000000000000000e+00
12,"07/25/05 00:00:00","Α12",0.0000000000000000e+00
