IDYear,Date
6,"01/01/05 00:00:00"
7,"01/02/05 00:00:00"
8,"01/03/05 00:00:00"
9,"01/04/05 00:00:00"
10,"01/05/05 00:00:00"
11,"01/06/05 00:00:00"
12,"01/07/05 00:00:00"
13,"01/08/05 00:00:00"
14,"01/09/05 00:00:00"
15,"01/10/05 00:00:00"
16,"01/11/05 00:00:00"
17,"01/12/05 00:00:00"
18,"01/13/05 00:00:00"
19,"01/14/05 00:00:00"
20,"01/15/05 00:00:00"
21,"01/16/05 00:00:00"
22,"01/17/05 00:00:00"
23,"01/18/05 00:00:00"
24,"01/19/05 00:00:00"
25,"01/20/05 00:00:00"
26,"01/21/05 00:00:00"
27,"01/22/05 00:00:00"
28,"01/23/05 00:00:00"
29,"01/24/05 00:00:00"
30,"01/25/05 00:00:00"
31,"01/26/05 00:00:00"
32,"01/27/05 00:00:00"
33,"01/28/05 00:00:00"
34,"01/29/05 00:00:00"
35,"01/30/05 00:00:00"
36,"01/31/05 00:00:00"
37,"02/01/05 00:00:00"
38,"02/02/05 00:00:00"
39,"02/03/05 00:00:00"
40,"02/04/05 00:00:00"
41,"02/05/05 00:00:00"
42,"02/06/05 00:00:00"
43,"02/07/05 00:00:00"
44,"02/08/05 00:00:00"
45,"02/09/05 00:00:00"
46,"02/10/05 00:00:00"
47,"02/11/05 00:00:00"
48,"02/12/05 00:00:00"
49,"02/13/05 00:00:00"
50,"02/14/05 00:00:00"
51,"02/15/05 00:00:00"
52,"02/16/05 00:00:00"
53,"02/17/05 00:00:00"
54,"02/18/05 00:00:00"
55,"02/19/05 00:00:00"
56,"02/20/05 00:00:00"
57,"02/21/05 00:00:00"
58,"02/22/05 00:00:00"
59,"02/23/05 00:00:00"
60,"02/24/05 00:00:00"
61,"02/25/05 00:00:00"
62,"02/26/05 00:00:00"
63,"02/27/05 00:00:00"
64,"02/28/05 00:00:00"
65,"03/01/05 00:00:00"
66,"03/02/05 00:00:00"
67,"03/03/05 00:00:00"
68,"03/04/05 00:00:00"
69,"03/05/05 00:00:00"
70,"03/06/05 00:00:00"
71,"03/07/05 00:00:00"
72,"03/08/05 00:00:00"
73,"03/09/05 00:00:00"
74,"03/10/05 00:00:00"
75,"03/11/05 00:00:00"
76,"03/12/05 00:00:00"
77,"03/13/05 00:00:00"
78,"03/14/05 00:00:00"
79,"03/15/05 00:00:00"
80,"03/16/05 00:00:00"
81,"03/17/05 00:00:00"
82,"03/18/05 00:00:00"
83,"03/19/05 00:00:00"
84,"03/20/05 00:00:00"
85,"03/21/05 00:00:00"
86,"03/22/05 00:00:00"
87,"03/23/05 00:00:00"
88,"03/24/05 00:00:00"
89,"03/25/05 00:00:00"
90,"03/26/05 00:00:00"
91,"03/27/05 00:00:00"
92,"03/28/05 00:00:00"
93,"03/29/05 00:00:00"
94,"03/30/05 00:00:00"
95,"03/31/05 00:00:00"
96,"04/01/05 00:00:00"
97,"04/02/05 00:00:00"
98,"04/03/05 00:00:00"
99,"04/04/05 00:00:00"
100,"04/05/05 00:00:00"
101,"04/06/05 00:00:00"
102,"04/07/05 00:00:00"
103,"04/08/05 00:00:00"
104,"04/09/05 00:00:00"
105,"04/10/05 00:00:00"
106,"04/11/05 00:00:00"
107,"04/12/05 00:00:00"
108,"04/13/05 00:00:00"
109,"04/14/05 00:00:00"
110,"04/15/05 00:00:00"
111,"04/16/05 00:00:00"
112,"04/17/05 00:00:00"
113,"04/18/05 00:00:00"
114,"04/19/05 00:00:00"
115,"04/20/05 00:00:00"
116,"04/21/05 00:00:00"
117,"04/22/05 00:00:00"
118,"04/23/05 00:00:00"
119,"04/24/05 00:00:00"
120,"04/25/05 00:00:00"
121,"04/26/05 00:00:00"
122,"04/27/05 00:00:00"
123,"04/28/05 00:00:00"
124,"04/29/05 00:00:00"
125,"04/30/05 00:00:00"
126,"05/01/05 00:00:00"
127,"05/02/05 00:00:00"
128,"05/03/05 00:00:00"
129,"05/04/05 00:00:00"
130,"05/05/05 00:00:00"
131,"05/06/05 00:00:00"
132,"05/07/05 00:00:00"
133,"05/08/05 00:00:00"
134,"05/09/05 00:00:00"
135,"05/10/05 00:00:00"
136,"05/11/05 00:00:00"
137,"05/12/05 00:00:00"
138,"05/13/05 00:00:00"
139,"05/14/05 00:00:00"
140,"05/15/05 00:00:00"
141,"05/16/05 00:00:00"
142,"05/17/05 00:00:00"
143,"05/18/05 00:00:00"
144,"05/19/05 00:00:00"
145,"05/20/05 00:00:00"
146,"05/21/05 00:00:00"
147,"05/22/05 00:00:00"
148,"05/23/05 00:00:00"
149,"05/24/05 00:00:00"
150,"05/25/05 00:00:00"
151,"05/26/05 00:00:00"
152,"05/27/05 00:00:00"
153,"05/28/05 00:00:00"
154,"05/29/05 00:00:00"
155,"05/30/05 00:00:00"
156,"05/31/05 00:00:00"
157,"06/01/05 00:00:00"
158,"06/02/05 00:00:00"
159,"06/03/05 00:00:00"
160,"06/04/05 00:00:00"
161,"06/05/05 00:00:00"
162,"06/06/05 00:00:00"
163,"06/07/05 00:00:00"
164,"06/08/05 00:00:00"
165,"06/09/05 00:00:00"
166,"06/10/05 00:00:00"
167,"06/11/05 00:00:00"
168,"06/12/05 00:00:00"
169,"06/13/05 00:00:00"
170,"06/14/05 00:00:00"
171,"06/15/05 00:00:00"
172,"06/16/05 00:00:00"
173,"06/17/05 00:00:00"
174,"06/18/05 00:00:00"
175,"06/19/05 00:00:00"
176,"06/20/05 00:00:00"
177,"06/21/05 00:00:00"
178,"06/22/05 00:00:00"
179,"06/23/05 00:00:00"
180,"06/24/05 00:00:00"
181,"06/25/05 00:00:00"
182,"06/26/05 00:00:00"
183,"06/27/05 00:00:00"
184,"06/28/05 00:00:00"
185,"06/29/05 00:00:00"
186,"06/30/05 00:00:00"
187,"07/01/05 00:00:00"
188,"07/02/05 00:00:00"
189,"07/03/05 00:00:00"
190,"07/04/05 00:00:00"
191,"07/05/05 00:00:00"
192,"07/06/05 00:00:00"
193,"07/07/05 00:00:00"
194,"07/08/05 00:00:00"
195,"07/09/05 00:00:00"
196,"07/10/05 00:00:00"
197,"07/11/05 00:00:00"
198,"07/12/05 00:00:00"
199,"07/13/05 00:00:00"
200,"07/14/05 00:00:00"
201,"07/15/05 00:00:00"
202,"07/16/05 00:00:00"
203,"07/17/05 00:00:00"
204,"07/18/05 00:00:00"
